m,b,t,c
4,4,8630.75,0.009513613
4,4,14186.5,0.015637676
4,4,28197.75,0.031082176
4,4,3342.75,0.003684689
4,4,10423.75,0.011490024
4,4,19536.75,0.021535218
4,4,10074.75,0.011105324
4,4,25169,0.027743607
4,4,31708.75,0.034952326
4,5,28499.75,0.031415068
4,5,30467,0.033583554
4,5,28155.5,0.031035604
4,5,46545,0.051306217
4,5,7313.5,0.008061618
4,5,83464.5,0.092002315
4,5,10304.25,0.0113583
4,5,25064,0.027627866
4,5,91678.75,0.101056823
4,5,5710.25,0.006294367
4,6,10753.75,0.011853781
4,6,9434,0.01039903
4,6,58122.25,0.064067736
4,6,36517,0.040252425
4,6,6300,0.006944444
4,6,8053.25,0.008877039
4,6,36100.5,0.03979332
4,6,56125.5,0.061866733
4,6,18231.75,0.020096726
4,6,11469.75,0.012643022
4,7,16464,0.018148148
4,7,4208.25,0.004638724
4,7,10486.75,0.011559469
4,7,31835.5,0.035092041
4,7,10277.5,0.011328814
4,7,30143.75,0.033227238
4,7,143959,0.158684965
4,7,52002.5,0.05732198
4,7,31501.75,0.034724151
4,7,1544.75,0.001702767
4,8,17211.5,0.018972112
4,8,16237.75,0.017898754
4,8,39853,0.043929674
4,8,11059.75,0.012191082
4,8,22682,0.025002205
4,8,18835.5,0.020762235
4,8,32236.75,0.035534336
4,8,168563,0.185805776
4,8,1935.25,0.002133212
4,8,21184.5,0.023351521
4,9,23631,0.02604828
4,9,51941.5,0.05725474
4,9,9056.5,0.009982914
4,9,8197.25,0.009035769
4,9,13965,0.015393519
4,9,4972,0.0054806
4,9,2183.75,0.002407132
4,9,73086.25,0.080562445
4,9,15460,0.017041446
4,9,44698.75,0.049271109
4,10,51335,0.056586199
4,10,29137,0.032117504
4,10,6210,0.006845238
4,10,17375,0.019152337
4,10,123686.5,0.136338735
4,10,23548,0.02595679
4,10,10230.25,0.011276731
4,10,16020.75,0.017659557
4,10,28088.75,0.030962026
4,10,101207.25,0.11156002
4,11,16480.25,0.01816606
4,11,40297,0.044419092
4,11,8002.75,0.008821373
4,11,11674,0.012868166
4,11,38245.5,0.042157738
4,11,11780.75,0.012985836
4,11,28867.75,0.031820712
4,11,11729.5,0.012929343
4,11,25981.5,0.02863922
4,11,142442.5,0.157013338
4,12,24510.75,0.027018022
4,12,4853.75,0.005350254
4,12,83681.5,0.092241512
4,12,9963.75,0.01098297
4,12,41920.25,0.046208388
4,12,3052.25,0.003364473
4,12,14955.75,0.016485615
4,12,51829,0.057130732
4,12,32110.75,0.035395448
4,12,14409.5,0.015883488
4,13,4233.75,0.004666832
4,13,23600.25,0.026014385
4,13,1503,0.001656746
4,13,58062,0.064001323
4,13,18659.5,0.020568232
4,13,20652.75,0.022765377
4,13,6190,0.006823192
4,13,1250.25,0.001378142
4,13,20537.75,0.022638613
4,13,30931.25,0.034095293
4,14,453.25,0.000499614
4,14,13262.75,0.014619433
4,14,14482.25,0.015963679
4,14,20372.75,0.022456735
4,14,4094.25,0.004513062
4,14,44677.5,0.049247685
4,14,20546.75,0.022648534
4,14,42245.25,0.046566634
4,14,6236.75,0.006874724
4,14,3193.75,0.003520448
5,1,5134.4,0.007074515
5,1,11342.6,0.015628582
5,1,44273.6,0.061003086
5,1,13187.4,0.01817047
5,1,93231.2,0.128460097
5,1,9387.2,0.012934303
5,1,12361,0.017031801
5,1,5292,0.007291667
5,1,22298.4,0.030724206
5,1,5089.6,0.007012787
5,2,6174.8,0.008508047
5,2,10634.2,0.014652502
5,2,26398.6,0.036373732
5,2,12327,0.016984954
5,2,25880.2,0.035659447
5,2,31556,0.043479938
5,2,51834.8,0.071421407
5,2,40239.4,0.0554445
5,2,8428.2,0.01161293
5,2,2812.4,0.00387511
5,3,11029.4,0.015197035
5,3,65313.8,0.089993662
5,3,24726.4,0.034069665
5,3,26406.6,0.036384755
5,3,9817,0.01352651
5,3,24553.2,0.033831019
5,3,22649,0.031207286
5,3,4192,0.005776014
5,3,56510.8,0.077864308
5,3,44916.4,0.061888779
5,4,82103.2,0.113127205
5,4,55608.6,0.076621197
5,4,6491.2,0.008944004
5,4,43178.6,0.059494323
5,4,51265.2,0.070636574
5,4,33944.8,0.046771384
5,4,19534.4,0.026915785
5,4,36739.2,0.050621693
5,4,8445.6,0.011636905
5,4,26623.8,0.036684028
5,5,34991.2,0.048213183
5,5,5412.2,0.007457286
5,5,30986.2,0.04269483
5,5,25408.4,0.035009369
5,5,4582,0.006313382
5,5,25782.4,0.035524691
5,5,42889.2,0.059095569
5,5,60.6,8.34987E-05
5,5,9193.8,0.012667824
5,5,7255.2,0.009996693
5,6,40602.4,0.055944665
5,6,595.8,0.000820933
5,6,12140.6,0.016728119
5,6,453,0.000624173
5,6,25192.6,0.034712026
5,6,5088,0.007010582
5,6,7303.4,0.010063106
5,6,14911.2,0.020545635
5,6,3273.4,0.004510306
5,6,76296.2,0.105125937
5,7,2187.4,0.003013944
5,7,3961.8,0.005458829
5,7,51793,0.071363812
5,7,11112.6,0.015311673
5,7,42181.6,0.058120591
5,7,70312.6,0.096881338
5,7,4127.4,0.005687004
5,7,15266.4,0.021035053
5,7,2979.6,0.004105489
5,7,11583.6,0.015960648
5,8,46380.4,0.063905974
5,8,12732.8,0.017544092
5,8,2442.8,0.003365851
5,8,8866.4,0.012216711
5,8,25491.8,0.035124284
5,8,26379,0.036346726
5,8,2042.6,0.002814429
5,8,45031.4,0.062047233
5,8,13969,0.01924741
5,8,18659.6,0.025710428
5,9,5008,0.006900353
5,9,13454,0.018537809
5,9,104958.4,0.144618607
5,9,35246,0.048564264
5,9,5953.4,0.008202987
5,9,2530.8,0.003487103
5,9,29550.4,0.04071649
5,9,29011.6,0.039974096
5,9,5327.4,0.007340443
5,9,22089,0.030435681
5,10,83502.8,0.115055666
5,10,3280.4,0.004519951
5,10,4465.6,0.006152998
5,10,24661.2,0.033979828
5,10,41410,0.057057429
5,10,43929.6,0.060529101
5,10,7729.8,0.010650628
5,10,559.6,0.000771054
5,10,8326.2,0.011472388
5,10,15542.6,0.021415619
5,11,30311.4,0.041765046
5,11,16165.4,0.022273754
5,11,7468.6,0.01029073
5,11,53457.2,0.073656856
5,11,1784.6,0.00245894
5,11,39741.6,0.054758598
5,11,63846.6,0.087972057
5,11,19772.2,0.027243441
5,11,2776.6,0.003825783
5,11,369.6,0.000509259
5,12,45581.6,0.062805335
5,12,26469.8,0.036471836
5,12,37570.4,0.051766975
5,12,7425.2,0.01023093
5,12,241.2,0.000332341
5,12,5926.8,0.008166336
5,12,11608.6,0.015995095
5,12,719,0.000990686
5,12,40498.8,0.055801918
5,12,33682,0.046409281
5,13,6456.2,0.008895778
5,13,21431.6,0.029529872
5,13,14492.2,0.019968309
5,13,22721.2,0.031306768
5,13,14243.6,0.019625772
5,13,852,0.001173942
5,13,8273.6,0.011399912
5,13,6563.8,0.009044037
5,13,7064,0.009733245
5,13,36853.2,0.05077877
5,14,46199.4,0.063656581
5,14,7420.8,0.010224868
5,14,10855.6,0.014957562
5,14,61675.8,0.084980985
5,14,6512.8,0.008973765
5,14,1615.2,0.002225529
5,14,4671,0.006436012
5,14,45144.4,0.062202932
5,14,22722.8,0.031308973
5,14,25025.6,0.034481922
6,1,3335.166667,0.005514495
6,1,17707.33333,0.029277998
6,1,7883.833333,0.013035439
6,1,14653,0.024227844
6,1,53408.16667,0.088307154
6,1,41434.5,0.068509425
6,1,2104.666667,0.003479938
6,1,53783.83333,0.088928296
6,1,3430.333333,0.005671847
6,1,8699,0.014383267
6,2,16015,0.026479828
6,2,8765,0.014492394
6,2,4872.333333,0.008056107
6,2,37241.66667,0.06157683
6,2,1878.166667,0.003105434
6,2,64526.5,0.106690642
6,2,11946.5,0.019752811
6,2,16774.33333,0.02773534
6,2,13159.16667,0.021757881
6,2,10777.33333,0.017819665
6,3,26410,0.043667328
6,3,14620.66667,0.024174383
6,3,33800.16667,0.055886519
6,3,34430.33333,0.056928461
6,3,12993.16667,0.02148341
6,3,10689,0.017673611
6,3,1215.666667,0.002010031
6,3,12671.5,0.020951554
6,3,6701.333333,0.011080247
6,3,44058.66667,0.072848325
6,4,20687,0.034204696
6,4,15871.33333,0.026242284
6,4,2420,0.004001323
6,4,9919.5,0.01640129
6,4,53710.83333,0.088807595
6,4,6758.166667,0.011174217
6,4,31009,0.051271495
6,4,4449.833333,0.007357529
6,4,1058,0.001749339
6,4,45440.66667,0.075133377
6,5,559.1666667,0.000924548
6,5,9764.5,0.016145007
6,5,5748,0.009503968
6,5,19093.66667,0.031570216
6,5,6588.333333,0.010893408
6,5,5167.5,0.008544147
6,5,13746.83333,0.022729552
6,5,29509.33333,0.048791887
6,5,16752.16667,0.027698688
6,5,24605.5,0.040683697
6,6,3741.333333,0.006186067
6,6,5202.333333,0.008601742
6,6,3911.333333,0.006467152
6,6,17830.16667,0.029481096
6,6,12605.33333,0.020842152
6,6,58005.5,0.095908565
6,6,33674.83333,0.055679288
6,6,62792.5,0.103823578
6,6,73403.5,0.121368221
6,6,16519.83333,0.027314539
6,7,2007.333333,0.003319004
6,7,396.8333333,0.00065614
6,7,1043.333333,0.001725088
6,7,14255.66667,0.023570877
6,7,26777.66667,0.044275243
6,7,195.5,0.000323247
6,7,17908.16667,0.029610064
6,7,613.1666667,0.001013834
6,7,7421.333333,0.012270723
6,7,15147.33333,0.025045194
6,8,4863.333333,0.008041226
6,8,17981.33333,0.029731041
6,8,8770.333333,0.014501213
6,8,11237,0.018579696
6,8,34368.5,0.056826224
6,8,19431.66667,0.032129078
6,8,16323.83333,0.026990465
6,8,18463.83333,0.030528825
6,8,11234.33333,0.018575287
6,8,45383.33333,0.07503858
6,9,32382.16667,0.053541942
6,9,17693,0.029254299
6,9,19696.33333,0.032566689
6,9,2009.666667,0.003322862
6,9,2517.833333,0.004163084
6,9,333.6666667,0.000551698
6,9,43693.83333,0.072245095
6,9,8613.333333,0.014241623
6,9,9842.166667,0.016273424
6,9,16001.83333,0.026458058
6,10,14513,0.023996362
6,10,19965,0.033010913
6,10,7220.666667,0.011938933
6,10,7401.333333,0.012237654
6,10,2436,0.004027778
6,10,16468.66667,0.027229938
6,10,3726.166667,0.00616099
6,10,30203.66667,0.049939925
6,10,43718.83333,0.072286431
6,10,5952.833333,0.009842648
6,11,13340.83333,0.022058256
6,11,773.5,0.001278935
6,11,26741.16667,0.044214892
6,11,11296.5,0.018678075
6,11,21636.16667,0.035774085
6,11,1090.833333,0.001803627
6,11,2606.333333,0.004309414
6,11,520.3333333,0.00086034
6,11,27297.5,0.045134755
6,11,4585.666667,0.007582121
6,12,6921.333333,0.011444004
6,12,1181.833333,0.00195409
6,12,12503.66667,0.020674052
6,12,1236.166667,0.002043926
6,12,1066.666667,0.001763668
6,12,1438,0.002377646
6,12,34235,0.056605489
6,12,57888,0.095714286
6,12,7855.166667,0.01298804
6,12,2409.5,0.003983962
6,13,18291,0.030243056
6,13,37709.16667,0.062349813
6,13,41213.83333,0.068144566
6,13,13547.16667,0.022399416
6,13,3272.333333,0.005410604
6,13,31729,0.052461971
6,13,2316.833333,0.003830743
6,13,3257,0.005385251
6,13,3037.333333,0.005022046
6,13,1903,0.003146495
6,14,24764.5,0.040946594
6,14,11455.33333,0.018940697
6,14,21459.83333,0.035482529
6,14,22047.33333,0.036453924
6,14,2220.833333,0.003672013
6,14,5030.5,0.008317626
6,14,4888.666667,0.008083113
6,14,22735,0.037590939
6,14,5722.5,0.009461806
6,14,9150.666667,0.015130071
7,1,925.7142857,0.001785714
7,1,1517.571429,0.002927414
7,1,26546.42857,0.051208388
7,1,15977.28571,0.030820381
7,1,161.8571429,0.000312224
7,1,5057.857143,0.009756669
7,1,17261.85714,0.033298336
7,1,6001.857143,0.011577657
7,1,4628.142857,0.008927745
7,1,34947.57143,0.067414297
7,2,18056.14286,0.034830522
7,2,4101.571429,0.007911982
7,2,8335.285714,0.016078869
7,2,18369.71429,0.035435406
7,2,4743,0.009149306
7,2,10688.14286,0.02061756
7,2,4814.571429,0.009287368
7,2,3792.857143,0.007316468
7,2,30873.28571,0.059554949
7,2,5785.285714,0.011159888
7,3,1895.857143,0.003657132
7,3,4008.857143,0.007733135
7,3,15297,0.029508102
7,3,388,0.000748457
7,3,6371.428571,0.012290564
7,3,15533.28571,0.0299639
7,3,843.8571429,0.001627811
7,3,1111.571429,0.002144235
7,3,2797.571429,0.00539655
7,3,5591.714286,0.010786486
7,4,4904.571429,0.009460979
7,4,34208.57143,0.065988757
7,4,5863.285714,0.011310351
7,4,13305.57143,0.025666612
7,4,3290.142857,0.006346726
7,4,17724,0.034189815
7,4,33428.28571,0.064483576
7,4,1938.142857,0.003738701
7,4,3784.142857,0.007299658
7,4,26354.85714,0.050838845
7,5,14051.14286,0.027104828
7,5,15946.71429,0.030761409
7,5,853.1428571,0.001645723
7,5,4426.571429,0.008538911
7,5,4348.714286,0.008388724
7,5,1654.142857,0.003190862
7,5,7485.857143,0.014440311
7,5,4847.857143,0.009351576
7,5,15680,0.030246914
7,5,29712.71429,0.057316193
7,6,17750.14286,0.034240245
7,6,6946,0.01339892
7,6,14082.14286,0.027164627
7,6,3458.428571,0.006671351
7,6,2473.285714,0.004770999
7,6,1463.714286,0.002823523
7,6,2315.285714,0.004466215
7,6,1542.285714,0.002975088
7,6,11232.14286,0.021666942
7,6,4938.285714,0.009526014
7,7,101.5714286,0.000195933
7,7,1284.714286,0.00247823
7,7,3857.714286,0.007441578
7,7,12133.71429,0.023406085
7,7,5474.142857,0.010559689
7,7,9032.714286,0.017424217
7,7,8611.285714,0.016611276
